Title,Authors,First_Publish_Year,Edition_Count,Subjects,Availability,URL,Cover_URL
Wuthering Heights,"Emily Brontë, Stephanie Baudet, Arianna Bellucci, Angel Vara, Tanya Landman, Gisela Etzel, Theodore De Wyzewa",1846,2885,"British and irish fiction (fictional works by one author), Children's fiction, Classic fiction, Classic Literature, Country homes",Readable Online,https://openlibrary.org/works/OL21177W,https://covers.openlibrary.org/b/id/12818862-M.jpg
A Christmas Carol,Charles Dickens,1843,2727,"Ghost stories, Readers, Ebenzer Scrooge (Fictitious character), open_syllabus_project, Cartoons and comics",Readable Online,https://openlibrary.org/works/OL8193497W,https://covers.openlibrary.org/b/id/13299222-M.jpg
Adventures of Huckleberry Finn,Mark Twain,1876,2552,"adventure and adventurers, Adventure stories, American fiction (fictional works by one author), American literature, Boys",Readable Online,https://openlibrary.org/works/OL53908W,https://covers.openlibrary.org/b/id/8157718-M.jpg
Emma,Jane Austen,1815,2261,"Social life and customs, Mate selection, Fiction, Fathers and daughters, open_syllabus_project",Readable Online,https://openlibrary.org/works/OL66513W,https://covers.openlibrary.org/b/id/9278312-M.jpg
Oliver Twist,Charles Dickens,1822,2209,"Bildungsromans, Boys, Brigands and robbers, British and irish fiction (fictional works by one author), British fiction",Readable Online,https://openlibrary.org/works/OL8193478W,https://covers.openlibrary.org/b/id/13300802-M.jpg
Frankenstein or The Modern Prometheus,Mary Shelley,1818,2184,"Frankenstein (Fictitious character), Frankenstein's monster (Fictitious character), Fiction, Victor Frankenstein (Fictitious character), Scientists",Readable Online,https://openlibrary.org/works/OL450063W,https://covers.openlibrary.org/b/id/12356249-M.jpg
Hamlet,William Shakespeare,1603,2077,"performing arts, Stage history, Reyes, reinas, soberanos, Venganza, History and criticism",Readable Online,https://openlibrary.org/works/OL9170454W,https://covers.openlibrary.org/b/id/8281954-M.jpg
A Tale of Two Cities,Charles Dickens,1800,2059,"British, British and irish fiction (fictional works by one author), Children's fiction, Criticism and interpretation, English fiction",Readable Online,https://openlibrary.org/works/OL8193465W,https://covers.openlibrary.org/b/id/13301713-M.jpg
The Wonderful Wizard of Oz,L. Frank Baum,1899,2052,"Witches, Toy and movable books, Spanish language materials, Fiction, Wizards",Readable Online,https://openlibrary.org/works/OL18417W,https://covers.openlibrary.org/b/id/552443-M.jpg
Sense and Sensibility,Jane Austen,1811,2015,"Fiction, Romance, Historical, Regency, Inheritance and succession, fiction, Mate selection, fiction, Social classes, fiction, Family life, fiction",Readable Online,https://openlibrary.org/works/OL66562W,https://covers.openlibrary.org/b/id/9278292-M.jpg
